member_type,sigma,tau,sigma_vm,Sy,Su,label
column,261940249.24681723,29134938.951406028,266756870.91168094,178173878.04715276,252753814.72803855,Fracture Risk
shaft,344626072.2260272,261849693.3401865,569616463.3900499,1212084034.0893283,1681848354.9542081,Safe
beam,138348802.26052734,18932773.50424024,142182069.27953708,308665541.7215812,434610230.44786763,Safe
shaft,37728256.99141607,279566441.8928513,485690856.07359064,266096386.15391895,384940376.9948895,Fracture Risk
beam,611182052.6433818,144520315.76375362,660455802.0630469,1033628529.7663177,1478882962.5211515,Fatigue Risk
column,367262477.0315336,35903007.77139238,372490006.49203426,293056349.90830106,436798657.8069735,Buckling Risk
shaft,64064791.24349098,136547329.8708056,245030237.64754397,682674215.0476377,870362795.1216509,Safe
shaft,97164747.8516572,45106197.53601886,124678367.78507803,1082057162.1855984,1551303531.9996657,Safe
column,984885476.3128356,63619386.782666415,991030615.3574512,859939162.4201039,1364883790.7893162,Fracture Risk
column,612781497.869811,50120624.47612658,618900149.5598462,421573041.7752726,567577676.8484795,Buckling Risk
column,756947701.7316765,8229622.968215452,757081899.9549942,680750999.9474252,1052257349.9248384,Buckling Risk
column,223758792.9470817,14167775.720435884,225100366.5650696,253995655.74237692,391149755.6591212,Buckling Risk
column,1059559410.8121291,65346162.296663545,1065587400.3671646,606309602.2987268,885312687.2571574,Buckling Risk
shaft,232695665.45876548,263023278.80828753,511557434.02719134,1197384305.2230587,1902627929.1799724,Safe
column,1065659481.9635198,251608870.69746006,1151325845.6838841,1318954868.1998823,1657299545.6295028,Buckling Risk
shaft,170836105.81876394,271295659.5287959,499988979.567363,874826204.1158794,1331888829.9193304,Safe
shaft,278665532.99099565,658221320.212012,1173635547.528315,937701169.1552147,1498156445.312178,Fracture Risk
shaft,315481564.478367,390339912.04763293,746072622.6968656,1340902456.8872454,1848787240.5137239,Safe
shaft,28845896.674448155,257510360.1247668,446952841.4382374,455283147.4525376,616219897.8039498,Yield Risk
beam,271598908.32562834,23362721.76038231,274596826.8349658,190241490.8841752,257845187.30560744,Fracture Risk
column,323437035.98560536,70605023.20343061,345784216.16931087,375545670.9837198,513063138.7685487,Buckling Risk
column,1229523463.2734048,137450678.95475605,1252360177.494956,822614868.3821334,996511302.559834,Fracture Risk
beam,1484556806.6165094,45817048.726937525,1486676332.6069155,1165386363.449645,1510483012.6948197,Fracture Risk
shaft,126689654.26565626,269909035.0639622,484358266.2920383,1070631870.7271348,1354747498.6149251,Safe
column,994647032.5104136,92351539.18447395,1007426989.7372197,673853276.9247662,1061914092.5952866,Buckling Risk
column,550649798.1015043,25323319.569692478,552393891.7939931,763257273.4116914,918114213.6286067,Buckling Risk
column,1569975582.86648,22263669.375125974,1570449089.8208315,1112073044.7064419,1553087436.8710976,Fracture Risk
column,1600312676.5958586,234000938.25984862,1650839174.5390794,1251364075.9817374,1782846143.049836,Buckling Risk
beam,584837074.3850024,90516273.76206164,605486573.7755994,372688858.7974371,487026011.71363705,Fracture Risk
beam,128495721.9756616,160996245.39390284,307035052.8178303,860030484.3744152,1051122680.529136,Safe
column,880337297.4439263,123498270.87935385,905952110.2141364,849890820.8757169,1157881949.7054327,Buckling Risk
beam,480403951.95658565,89667456.48961267,504884853.52152836,1014755531.1122946,1599847681.3315628,Safe
beam,537674513.0352768,129876888.69561736,582836083.8344545,802184538.032938,1118602218.3155162,Fatigue Risk
shaft,52140181.323370926,7296637.50351655,53649988.49027995,176246775.2474861,254340791.64713833,Safe
shaft,271428798.24138945,581792179.6268083,1043609128.6202426,785735102.209925,946139336.465673,Fracture Risk
column,1063884282.6894917,78739543.2129449,1072590095.9592551,1036205199.9362298,1413643273.428895,Buckling Risk
column,290494205.47788334,61498501.18151739,309407628.1524843,1276056338.1092937,1669742507.2546651,Safe
beam,530336177.15072054,29256937.293583654,532751692.56816304,1226894681.1380386,1925815401.2035992,Safe
column,359944590.0786517,28716028.249270033,363364746.1740438,265262107.23102415,342989166.79791456,Fracture Risk
shaft,253800402.96437702,665036189.3764268,1179505847.4148552,946113772.4313282,1494298805.812495,Fracture Risk
column,1288691985.005417,106600948.52924407,1301851880.552932,1128511167.6248622,1458384991.0978427,Fracture Risk
shaft,302473447.81017345,356305600.0893884,687278130.4503666,1398073331.5498652,2067821799.7643278,Safe
shaft,145399199.68954408,286206155.4902451,516607024.33462805,424384422.1446971,512253653.41753656,Fracture Risk
shaft,244362390.14145294,1016131753.579663,1776874840.7285998,910462237.3829517,1283666753.5593548,Fracture Risk
beam,85050936.52521265,57566990.145800896,131055472.48076275,241332151.59226704,365112748.8625152,Safe
column,687692455.8951064,46101963.46861413,692312853.4138502,780160592.7711085,1104729718.4180326,Buckling Risk
shaft,154883030.231833,646122962.1694357,1129784669.6524134,545372615.3175571,819590675.1237032,Fracture Risk
beam,369290780.4145952,226288032.50586078,538511375.427986,1068744566.8274978,1503829203.0307016,Safe
shaft,4911727.825175855,24146859.355498757,42111014.241304144,156224410.77266416,193059995.26952237,Safe
beam,138005822.8574794,167352850.89850494,321039775.19014937,418475116.687211,642912485.9790077,Yield Risk
column,300193467.32067364,31159578.98100203,305006353.88271546,248713297.64777392,378400800.7627073,Buckling Risk
beam,24262.876904306937,78171912.64667816,135397726.602801,321210610.486557,406859842.11028147,Safe
shaft,361496565.7529308,76088982.3485665,384770537.7958199,1101716240.9303946,1500743234.7070506,Safe
shaft,304320907.9420368,383454283.2947207,730563328.6320013,941356132.6698068,1500391508.7378478,Yield Risk
shaft,224968919.7398213,512499953.36790216,915739931.1241199,1165772710.7343483,1542241113.5795321,Fatigue Risk
beam,238197324.58662555,12203257.845735257,239133276.53502083,155678998.82179657,220310817.93284354,Fracture Risk
beam,1173256807.5147297,221369823.13269836,1234319785.2100816,978995683.3664709,1546574459.5288332,Fracture Risk
column,731404146.4039738,32091926.752018612,733513258.6837789,758952365.4344107,1096478855.0286548,Buckling Risk
column,295198884.17475,30109199.149639912,299770033.25602025,290024239.71648914,357649671.1850837,Yield Risk
beam,1233119458.4135299,53769755.92880912,1236631375.4211512,1336358310.4247563,1702244642.3537776,Yield Risk
beam,287403440.79659486,114367035.90433948,349056148.0426254,1012585026.8509204,1354924322.9398634,Safe
column,281590362.7487679,5086175.108792492,281728131.22706544,341496063.6892053,422811049.42738587,Buckling Risk
column,136243736.8967103,34628439.35626532,148861486.8941314,182274464.02554843,242960461.19022027,Yield Risk
beam,217494100.2807422,55455516.106491566,237759598.03305855,665349400.7478931,937245591.8395137,Safe
beam,399094401.6963562,277033104.382681,624114063.4828612,704821536.3239778,906169545.0992613,Yield Risk
column,5642282.085635695,21312836.318033982,37343624.92972275,312679610.7559891,483849424.848426,Safe
column,233864950.59663084,3368785.9792348845,233937729.48048857,303370069.3381852,480865361.5879863,Yield Risk
shaft,144172817.5200307,326879680.0291702,584240341.7768942,414124105.00815207,514299571.233256,Fracture Risk
shaft,185616592.97135434,41178667.74435465,198848101.87148705,781822656.8932211,1195388757.6884966,Safe
shaft,114766224.93647955,147360662.9535556,279851355.80251324,348222969.25222486,461263597.2914128,Fatigue Risk
shaft,182465907.60501572,208777976.12270334,405041402.0563804,1044455461.3554744,1416628011.4001222,Safe
shaft,228599425.54276875,861450524.8799375,1509486242.9999962,753371855.084988,962482791.8317381,Fracture Risk
column,916982328.4653109,37125690.13521736,919234214.6165534,766891542.0195435,993595525.5685556,Fracture Risk
column,119846813.34724122,67473256.04709104,167395279.2472876,1264420930.2459674,1887775992.1100187,Safe
beam,301900313.2854835,77677587.82259367,330522649.9223364,402432964.5563638,487581490.64720714,Yield Risk
column,494428125.882321,24260287.46453729,496210495.96626854,281092678.06960255,444113807.43789566,Buckling Risk
column,172617050.57916877,137286545.61579093,293835724.4652209,849438305.8331593,1329165067.77223,Safe
shaft,215371697.25011498,389014876.6485402,707377332.6436408,620401994.7994018,829432484.1381924,Fracture Risk
shaft,190562432.8290659,23905537.005075134,195008884.1674535,800272774.9566926,978913268.2520009,Safe
column,217984303.75144884,23601528.702756483,221784249.11008677,153079836.62360877,187873539.00451443,Buckling Risk
column,518079069.3630718,26891044.968870424,520168537.12105656,418504847.1536829,506396810.7571901,Buckling Risk
shaft,82911924.22614817,216560677.6616305,384148367.8302908,518252213.9512262,696277661.7996073,Yield Risk
shaft,29194950.849717047,237876503.3745893,413047258.4684232,235248674.12188596,373954511.0900727,Fracture Risk
shaft,45755777.29090886,41778764.76982955,85615341.57248631,289810724.6976067,376659722.9274038,Safe
column,1037674353.8405601,88590397.15688793,1048957978.1972533,1113911118.6249826,1430552925.8934083,Buckling Risk
shaft,56877918.34039562,426123708.4069109,740256267.9195029,824312621.2049953,1253513834.8104782,Fatigue Risk
shaft,529840505.6706189,283793749.16806984,722736215.8145288,1334063465.9224823,1737958949.2999904,Safe
column,268734496.3278805,27627576.910467524,272961679.60801935,224133014.43351215,272225421.8862346,Buckling Risk
shaft,116253516.94589092,138701025.20808762,266887248.44700286,907445088.920134,1341918156.5954015,Safe
shaft,3876372.8606000915,143297547.13126013,248228901.03302145,220237257.15466803,290633809.51339364,Fracture Risk
beam,144044839.3789361,194090590.5015968,365735406.70200247,903634895.0823368,1254435266.8044217,Safe
beam,346402650.3221642,1306282.0624607797,346410039.21465623,886729905.0040016,1070610630.0696278,Safe
shaft,100779852.58577335,71955726.50301339,160279313.75239787,404175900.28164935,629948581.8675328,Safe
beam,147919507.89181706,36935487.2698909,161161011.0248448,560033150.2205367,783615023.4834169,Safe
shaft,41718785.05695844,603814142.6148719,1046668530.859616,1180683350.2975464,1819289667.0290031,Fatigue Risk
column,593805775.2818822,56500854.978129044,601815867.6853708,606579745.2467599,932670666.3433062,Buckling Risk
shaft,41666037.928984016,107077602.42528276,190086552.75989488,211870213.4676001,288964650.97181875,Fatigue Risk
beam,971471120.413719,20544792.437585086,972122627.7002285,754106506.228526,1077538813.954586,Fracture Risk
shaft,195267028.30162448,306496214.57910335,565640345.9758742,628634104.3287609,937432575.2727526,Yield Risk
column,161033662.13782766,5395258.720511236,161304577.71403697,133304194.42955686,166732447.30779696,Buckling Risk
beam,868782622.7969697,17156534.355736654,869290679.6275227,586439256.4293375,850120635.173365,Fracture Risk
shaft,305397406.63037413,412985377.33499074,777777822.809401,1282559439.0242257,1985464034.3360486,Yield Risk
column,1092810181.2940023,47969275.592440896,1095964071.73886,607880753.8044138,956379059.8731427,Buckling Risk
column,378282898.4256739,6765638.105520263,378464361.3581777,581691980.7718961,799649718.4799683,Buckling Risk
column,271914342.7884375,164046115.77109924,393282079.57243943,1350032329.35062,1853075311.0324755,Safe
column,495826617.2622532,46385291.55658331,502293559.7875974,311218007.88887453,461798919.3927667,Fracture Risk
beam,651509850.2643366,45814470.660322525,656324601.2127802,790837955.0764169,1264212990.21346,Yield Risk
column,78268844.879166,160061015.4385305,288070474.1349926,1223062592.5358512,1533151878.8244424,Safe
shaft,55373703.52981067,18096979.89096377,63629781.44021247,573375577.6972554,848719846.9590423,Safe
column,271843167.0401385,35828391.818113014,278836382.9331268,198890197.31373,305880720.3375911,Buckling Risk
shaft,212434478.64719552,347527540.7758316,638321692.0262053,900916673.7924393,1360438445.3038027,Fatigue Risk
beam,144184420.99177292,64276837.56568898,182163889.94274005,270501719.9401229,384044972.0653193,Fatigue Risk
shaft,19220168.611631434,82182628.69104977,143636235.8779024,402423008.5483955,561576631.6486416,Safe
column,770100969.0781319,33617751.64040354,772299140.3925978,530979121.6105244,835069063.1439492,Buckling Risk
column,835838233.6571102,155382179.62758377,878098182.4833109,885909512.1659487,1370837963.0634582,Buckling Risk
column,1195109206.9320974,246432785.7706173,1269044274.326892,1317038112.288234,1789337136.7158608,Yield Risk
shaft,74371193.19589533,256606010.3375652,450634006.7077373,394490590.6075369,581659989.8339423,Fracture Risk
beam,171610889.17995209,99304794.474268,242970417.75052294,678833717.1968529,1078587627.128776,Safe
beam,33765228.881398074,194602336.72597933,338748135.13737243,565915754.597542,886268022.4814376,Safe
column,290406036.12095577,33985887.55765741,296311976.59684813,295262025.2694799,402422820.94568384,Buckling Risk
column,22471483.07542139,14409055.26445461,33583182.88148506,165440707.5838784,247591300.19831625,Safe
shaft,208947939.27258557,184727068.8275548,382140695.5548187,595400265.5412605,771575674.6244222,Yield Risk
column,1195739484.922392,197885571.45251536,1243892685.8735576,1385842515.5232542,1719634519.6197042,Buckling Risk
shaft,275323669.6710136,1086439619.937927,1901803424.750759,1149771039.8665805,1761003464.0895224,Fracture Risk
beam,141805202.78838474,253941313.7967502,462133409.4136817,696860702.1826117,1113376189.606298,Fatigue Risk
shaft,300187679.8258161,710175020.1377628,1266158884.501555,942484618.5798467,1364642498.8576071,Fracture Risk
column,733588041.1755955,22106870.1759332,734586656.0745397,950248158.597608,1225342183.162058,Yield Risk
shaft,76158443.5274289,35972329.229619786,98397834.9921026,871054636.4264493,1062024798.3384895,Safe
column,698940257.4182278,17232050.464608777,699577239.5736607,439352335.8709945,551761336.7932956,Buckling Risk
column,1487469619.2820609,77556676.6817639,1493523010.3955138,828407231.2488123,1230442357.9804235,Buckling Risk
shaft,144889093.9253583,416511799.2230058,735825445.4790672,701293259.0821027,869080779.9908494,Yield Risk
column,43356859.04059421,22646071.68024373,58466664.9767726,256195368.37532786,321419044.3164138,Safe
column,712843644.3275604,65906543.19789624,721925950.8890686,760995777.7767277,1189467874.3960717,Buckling Risk
shaft,45905163.50317498,249610477.58084834,434768278.04092467,1217954138.967227,1556705398.3927794,Safe
column,362215947.2981273,9158295.80196625,362563119.502065,266921266.57013008,364833944.0520132,Buckling Risk
column,901352012.6669307,102683634.68311052,918731319.3931783,758662403.5493938,1129673703.7932456,Buckling Risk
column,901547589.237832,14027529.49320226,901874919.493604,538747563.0745609,845147203.5490592,Buckling Risk
shaft,287357065.2338921,481393565.55576664,881925948.0338006,933938285.2356756,1353804283.3102999,Yield Risk
column,1155586262.1128173,7402008.051173605,1155657379.3099067,753469273.9098963,1114145958.2396927,Buckling Risk
beam,806550718.4566731,6816360.627993398,806637123.9656703,724791893.040624,938824947.8825703,Fracture Risk
shaft,126110921.83362946,132181141.50026515,261380043.4437701,352763343.5292754,446672099.75985914,Fatigue Risk
beam,1414451426.9380605,263458841.56477824,1486238380.1944695,1382009721.1423151,2070106471.8016105,Yield Risk
beam,399043433.00402564,14352728.743681055,399817038.0196514,1006435476.2465228,1559272644.905548,Safe
beam,217222562.12214684,69622371.76440565,248450126.67578432,809991682.5444438,1101613764.047727,Safe
column,256640048.2117793,20750850.600327913,259144569.204249,156812360.803741,228733021.16429055,Buckling Risk
beam,265845721.8518488,9684393.194620451,266374379.85206947,256626345.380853,352655800.5332258,Yield Risk
beam,474506966.32551455,163680220.38535082,552748138.6016909,1302112167.3858552,1973494083.4326031,Safe
column,1220352586.366235,108763434.18851538,1234807227.4246688,1066632949.3235133,1591608545.2255466,Buckling Risk
beam,311684708.1046134,170493265.61259255,429361407.35282224,748180049.9097643,1015693387.4918988,Safe
column,90965923.51982725,114077965.22164373,217522747.52114254,551349864.4934007,755903591.4120736,Safe
shaft,4610955.235415493,4999400.156564209,9810347.290456554,177308704.22237352,257699215.74123907,Safe
shaft,189914816.86206397,867148965.5798489,1513905420.8180764,730230720.7451812,947646561.2444756,Fracture Risk
column,1136372481.952625,58450361.40635512,1140873240.9802456,815567131.3022989,1014046795.7647426,Buckling Risk
beam,602228263.1936821,12725650.947354801,602631485.7069621,665241409.9149058,942754486.9898874,Yield Risk
shaft,371044715.17823696,672308972.6046482,1222158845.8935492,987087991.8390697,1387612739.8507063,Fracture Risk
shaft,126256962.72446692,365774642.4108255,645998519.9121661,840581603.8726814,1174995368.872381,Yield Risk
column,672605533.2706155,155011053.7996381,724212319.548951,1001002903.3189799,1525194349.053217,Yield Risk
beam,48406011.58778969,99227541.17743807,178553792.29296064,412369932.36538035,557161779.9189993,Safe
beam,1063896645.5863721,433051262.2204575,1301720499.8086684,1321408293.0134063,1754618025.6079578,Yield Risk
beam,449983883.36696625,44357589.47838681,456495654.44045,397500451.0500983,567899873.308339,Fracture Risk
shaft,36294978.99058231,29265579.660534658,62343788.451842666,310289563.24289954,484565576.7704325,Safe
beam,23573684.67942674,56385189.528373644,100466847.28713693,541643702.0878317,804578495.6431389,Safe
beam,1212153108.1925364,419776714.61099035,1413489521.7473729,1139831533.9929874,1653001175.4231277,Fracture Risk
shaft,95730775.46314971,471041346.29110056,821464686.470437,735786143.5437313,1041181992.3645221,Fracture Risk
beam,41988511.46195266,43465119.99598414,86201421.4707996,235525281.16400155,358497377.77503186,Safe
column,278499680.82900345,55195946.067773,294451778.07037663,496641291.90614885,631277401.814796,Safe
shaft,111761198.93129149,347822309.7931329,612724769.497733,530496862.6253005,719793149.0648232,Fracture Risk
column,1320831249.901792,229015615.29124,1379108279.599106,1396909448.6286058,2038844803.116337,Yield Risk
beam,377930007.78575754,58938801.95129761,391474696.38701504,261993330.3034028,324506455.40580875,Fracture Risk
shaft,131173876.51292917,186452883.01116508,348569388.5425896,570638027.4464245,827686780.2660519,Yield Risk
shaft,22080309.20304154,45829991.47686764,82393594.47682327,620825893.268435,924127934.4937903,Safe
shaft,242003492.5128111,836250978.9687831,1468506993.4689255,820106553.4337311,1157248875.6489387,Fracture Risk
beam,285652306.8603956,52536051.18139408,299795514.3691576,193063492.7974908,274396099.1116939,Fracture Risk
beam,65447693.293903604,168485505.16975528,299074400.2993499,952861886.5795319,1404051845.128709,Safe
shaft,112474386.28816581,838520553.9750338,1456708840.4642472,727516973.983623,1124788131.0651464,Fracture Risk
shaft,6275421.838292455,30304593.25005538,52862898.47712121,161432354.8758806,254295357.41334757,Safe
column,1492307381.619226,72217519.95197815,1497540460.8221018,1017731839.4482473,1260600286.7118297,Buckling Risk
column,17704455.984026596,49544944.52612686,87621643.13673477,256219888.97383767,327105786.02703834,Safe
beam,586916874.0792671,8710542.25151621,587110754.2175707,1048586591.6726079,1267575135.0421116,Safe
column,210980018.42133844,18400288.9985937,213373569.30689332,214513984.27501068,285076882.3644059,Buckling Risk
shaft,368227959.94860506,507687970.58182937,953327360.830686,920946283.3251781,1293931181.2294586,Yield Risk
column,715331316.0986413,84391274.92396559,730112699.2740855,1295804059.8150184,2051538901.8630145,Safe
beam,539133276.967149,472870764.0298496,980553399.2373172,1317386189.121035,1748939507.4196513,Fatigue Risk
shaft,269171467.30085886,1507145196.1231353,2624292896.2674932,1270129773.836382,2008944930.7649698,Fracture Risk
column,137555616.14271817,46654440.62188159,159535130.99510357,247570065.1014103,342514482.2068708,Yield Risk
shaft,87041043.937996,635490047.422621,1104137194.5774817,771459890.1929963,1103591079.1776316,Fracture Risk
shaft,22250122.08984805,771240400.2608902,1336012849.083701,905298868.0279222,1343235952.8214054,Fracture Risk
column,286864805.7460016,63928459.236118145,307493025.08610386,666900048.0664704,1012557813.3112946,Safe
column,914123546.4035548,39905353.36132494,916732878.0894076,621800467.9160715,944314543.5522135,Buckling Risk
column,1319861499.2827318,114637501.35694487,1334713320.3204916,845398838.2297237,1315834027.7568166,Fracture Risk
column,750078448.6461699,16187644.00118307,750602290.5496439,884795217.0766433,1250853746.585966,Buckling Risk
beam,692851355.8950751,257984370.18272454,824445757.5495037,776064105.5923148,1092183627.862766,Yield Risk
column,612983005.9730517,71151557.10434537,625248588.8403724,386585155.9163529,576777074.197347,Buckling Risk
beam,37321396.421517044,49026770.664560445,92756451.8307931,194191465.67463338,305686490.7664741,Safe
beam,30235309.931127902,191698788.78392485,333405835.0273775,1052894946.3884385,1371591237.501901,Safe
shaft,246341415.57172987,675386372.591314,1195459890.5325277,1232283735.5945928,1503755019.0355203,Yield Risk
shaft,67308115.807224,53255553.1534609,114187758.88229866,236563342.50317824,290895829.48038113,Safe
beam,29155748.12761032,20799180.956028417,46345177.03284235,115933842.42453536,182299324.6032956,Safe
column,184029598.99749425,3237990.0670466376,184115037.5341499,371729874.6555248,586344407.8710389,Safe
column,396312090.29643524,30444020.729740378,399804687.4533969,327739874.5581607,479768907.68411225,Buckling Risk
column,46769517.159805395,3667850.7810830018,47199016.127650425,225569637.38041157,326139176.4292472,Safe
shaft,122214596.75005795,970263862.2239527,1684984360.3642151,874669134.5922226,1133674780.7327816,Fracture Risk
beam,111501090.02431092,27991538.38310545,121585655.97868888,100834994.80983584,130791602.99856824,Fracture Risk
shaft,101271183.92182793,191251563.42656556,346391879.5703006,948168963.6467452,1498305714.6917,Safe
column,1225656196.1047745,51846200.39719872,1228941494.3506892,709873206.5773273,877430389.037279,Buckling Risk
beam,659513818.5771339,21209495.887733247,660536149.685714,545165616.560389,792536641.6775615,Fracture Risk
column,960828716.611296,49290290.58188168,964614130.573386,787283537.9461442,1210586464.755791,Buckling Risk
column,2089986834.4665678,150379105.50001848,2106154456.433939,1224907876.1786332,1588857120.2730665,Buckling Risk
shaft,230398381.38969114,212052758.7981405,433569523.47771937,689578931.5358392,852104596.6389627,Fatigue Risk
beam,321530871.28576475,142738893.9100925,405592500.7859649,372108594.4468966,594586526.0544946,Yield Risk
beam,1407868672.6884718,262260771.70350403,1479336451.4744952,1095108899.759007,1401441283.365143,Fracture Risk
shaft,176955480.4955733,685458776.4652396,1200364296.6937535,786538192.842906,1119495513.4282074,Fracture Risk
column,947811012.7764251,47529654.70340504,951379482.7349113,1107026494.4258964,1755897842.8381155,Buckling Risk
beam,429181321.0566829,69563562.4740307,445773343.7703455,438740111.35311866,625099910.2376713,Yield Risk
column,2016447691.034348,201643708.26677382,2046470582.717592,1346837781.1495352,1897369442.5369995,Buckling Risk
column,6258428.476580683,89376668.235557,154931386.1090223,917234895.8245289,1383962653.1456041,Safe
column,652061529.1393301,41575512.034446836,656025767.3188614,519109067.3930451,682078854.7117366,Buckling Risk
beam,1332028814.897599,267545556.72849107,1410334229.355927,1341116385.4778411,1836905779.1613443,Yield Risk
column,70121752.71359996,12798746.581375318,73542395.56738727,870392158.9386302,1164363013.1758153,Safe
column,401870652.41534853,37169156.15096742,406994667.9990573,253210646.2986233,378920811.6646179,Buckling Risk
beam,987997790.4919417,34948070.91588728,989850360.9127918,717897303.2486854,1104715179.4417763,Fracture Risk
shaft,48449400.35359615,161702873.28256935,284237228.52247745,164486079.11747086,218871940.04708108,Fracture Risk
column,751742608.1626534,36826806.59576946,754443894.5205371,815104682.6175336,1297540454.0164678,Buckling Risk
beam,140801798.5736602,270695247.3102606,489543560.095184,1099349042.1220481,1561796029.916464,Safe
column,1244279404.5519872,19211598.180496514,1244724263.8858593,1017117508.2424707,1364129018.147546,Fracture Risk
column,71751990.65334769,41222280.02478164,101223402.79818016,218120589.64509162,339859236.7907571,Safe
beam,761154771.2294804,364062548.0206309,988423594.6087209,1134837123.203492,1458099552.0053024,Fatigue Risk
shaft,105622439.74326642,315725044.8643798,556958716.2808065,383050965.66127765,595769680.9647431,Fracture Risk
shaft,476037952.4356678,987457017.9914132,1775338339.387911,1219898960.1024582,1698329466.1097486,Fracture Risk
shaft,48796696.24214711,58965580.0430414,113189824.86772096,1063574753.8176054,1415834928.8220024,Safe
column,579356502.3528936,138918546.91801396,627334874.5702057,930563709.1995795,1235109420.2588594,Buckling Risk
beam,100908426.20069937,97691347.57132961,197010935.35438326,800083595.469587,1126623107.4456284,Safe
shaft,78145664.25896685,478858026.4379367,833079692.0430735,835273460.2759732,1061860470.4610876,Yield Risk
shaft,347477524.96455806,240306746.79293522,542201648.8522575,992308577.5077137,1524350176.4953742,Safe
beam,951296774.8234723,4174972.693685734,951324258.5893198,610577461.1875644,755558201.6632348,Fracture Risk
shaft,334859781.6949615,552013978.2487156,1013059410.8652848,1388870548.6060019,2018033022.3567348,Fatigue Risk
beam,159565571.3658233,59724210.79358882,190163391.92928994,336248438.155504,478077555.5342379,Safe
shaft,105056299.61658823,50404363.597403444,136596580.11131942,302661720.8262311,434407360.80503213,Safe
beam,1386059534.110077,200250092.66087788,1428797162.2765472,870843620.4945009,1322200607.9655766,Fracture Risk
beam,376364459.7090593,112614460.03651547,423905952.2583281,730002020.822871,935860781.1411362,Safe
shaft,122293880.2020637,76713518.46828976,180584287.4732755,317534895.815508,411484109.31844705,Safe
shaft,39377439.29352702,193509488.58146113,337473479.311325,194224066.25371745,259809031.6534542,Fracture Risk
beam,95387856.33204757,323778781.0532235,568855816.8082287,1291302333.5490882,1975125951.3172271,Safe
beam,744121909.7673365,317365701.7042903,925138034.2687018,893525341.9265994,1354153318.3565176,Yield Risk
shaft,218078603.22500613,1513643678.170579,2630762214.754851,1310933498.6478918,1661729091.209041,Fracture Risk
column,1550762421.7957542,88868366.17875612,1558382766.9657018,972869734.5566857,1314554536.7640896,Buckling Risk
beam,66231498.36801765,40429172.118626885,96385503.32215627,163267691.29308552,203019757.81155825,Safe
beam,471628136.111198,63217635.147107184,484171980.7594209,299651227.0320835,462053743.5338608,Fracture Risk
shaft,19272197.70194948,198127694.30663437,343707968.1329085,268526747.33283305,379429217.15533376,Fracture Risk
beam,73333419.64887981,17741677.629321944,79511582.88392365,248788506.32085675,386160760.86038953,Safe
shaft,27784123.760802746,889695554.8815571,1541248357.2290227,975230779.8013024,1301165985.1922567,Fracture Risk
beam,857070227.5377343,236554645.42744654,949970355.1961495,934357191.4329872,1289483931.9888873,Yield Risk
shaft,421883105.28890336,163604173.86333188,508216815.586338,1146653505.1460297,1764007204.5572758,Safe
beam,119860814.07152957,260075067.63378716,466137036.8937086,987919443.3836972,1390979080.7977057,Safe
beam,794125305.2791485,145551480.6701779,833181073.3931396,935548650.028424,1228089443.8230665,Yield Risk
shaft,341886886.52843374,652942399.360657,1181477030.597151,1392325310.7596948,1901656208.722897,Yield Risk
shaft,95782456.08260685,124934884.97999929,236644153.4205176,637472239.2703745,845540622.1080058,Safe
column,465683384.42885685,24770731.32461271,467655623.21454334,272588778.37828135,396878357.0357261,Buckling Risk
beam,387716156.16997236,127325360.37542427,446048270.86248565,343410627.999944,429381851.55364406,Fracture Risk
column,633115453.59384,92102541.6774684,652904137.0137604,490026115.72353935,688009394.5692458,Fracture Risk
shaft,208800516.720402,907436369.4343783,1585534594.2297957,992925822.8600492,1432711966.642755,Fracture Risk
shaft,246876750.60122776,791545166.5082245,1393046798.1568384,845544336.9966078,1132884534.3850112,Fracture Risk
shaft,8561617.236806162,381912164.3601925,661546676.4700505,1135024768.3303838,1749697359.993954,Safe
column,498803068.71354216,69009125.9823488,512924243.6896405,485218202.92241925,643394417.3947942,Buckling Risk
shaft,244624184.5981162,960009206.3527883,1680682605.5316408,1394134299.3846722,2058863494.1058457,Fracture Risk
shaft,197647156.60071716,597130577.3831997,1052976342.4931866,1246300272.1949792,1909518787.5418682,Yield Risk
beam,711833467.1376122,72258127.45990318,722752098.5020998,722544648.6154263,980758999.232096,Yield Risk
beam,191029660.55879638,57887105.45082422,215743092.92682695,161586226.00712642,241517739.88534638,Fracture Risk
column,229614130.6630209,26637743.20726655,234203665.83310276,375672949.055808,531182891.5797782,Buckling Risk
beam,1367988697.0579138,355072375.7130173,1499874078.4684782,905635206.1935322,1215379368.5869424,Fracture Risk
shaft,102030501.80519521,44368658.44286609,127733929.9273262,509974477.82341665,707834723.2205294,Safe
column,69775623.24802157,157433821.53433132,281469113.9154719,849380011.6900446,1270450506.1558459,Safe
beam,360402983.5290713,140554818.30002218,434922155.539026,1005413136.8931082,1226226531.8438494,Safe
shaft,211713381.3976041,1358193907.0145705,2361968378.9198613,1373605477.8880727,1887903683.3852267,Fracture Risk
beam,102834140.64577329,53515390.255204655,138443314.98795903,167155292.1187186,214178029.68255442,Yield Risk
beam,469064673.631647,85884271.43751171,492087382.778933,692190178.0468898,923102784.1557459,Yield Risk
column,1004883761.7550879,103129144.93149255,1020636191.9126514,727758830.4228864,968728846.723965,Buckling Risk
beam,541474240.8897485,319751629.2959078,774543521.6043656,893678605.4779721,1130879029.2690864,Yield Risk
